room_id,room_name,company_name,location,keywords,min_players,max_players,website,phone,phone_2,address,latitude,longitude,waze_link,region, region_2,is_closed_on_weekends,number_of_same_rooms,is_performance,is_vr,soldier_discount,soldier_discount_weekend,student_discount,student_discount_weekend,children_discount,children_discount_weekend,is_gift_card,escape_card,birthday_discount,is_linear,is_parallel,is_beginner,is_for_children,is_for_religious,is_scary,is_for_disabled,is_for_hearing_impaired,is_for_pregnant,is_credit_card_accepted,is_mau_and_mau_played,price_1,price_2,price_3,price_4,price_5,price_6,price_7,price_8,price_9,weekend_price_1,weekend_price_2,weekend_price_3, weekend_price_4,weekend_price_5,weekend_price_6,weekend_price_7,weekend_price_8,weekend_price_9
1,לנקות את מר ריצ'באום, A-Mazed,אבן יהודה,,3,7,http://www.a-mazed.co.il/%D7%97%D7%93%D7%A8-%D7%91%D7%A8%D7%99%D7%97%D7%94-%D7%9C%D7%A0%D7%A7%D7%95%D7%AA-%D7%90%D7%AA-%D7%92%D7%99%D7%90-%D7%A8%D7%99%D7%A6%D7%91%D7%90%D7%95%D7%9D/,09-8918805,,"האלה 27, אבן יהודה",32.278719,34.892976,http://tinyurl.com/jsnrrm5,שרון,,,2,,,20,20,10,10,50,50,,,100,,,,0,,,,,,,,,,110,100,90,80,75,,,,,110,100,90,80,75,,
2,שוליית הקוסם, A-Mazed,אבן יהודה,,2,6,http://www.a-mazed.co.il/,09-8918805,,"האלה 27, אבן יהודה",32.278719,34.892976,http://tinyurl.com/jsnrrm5,שרון,,,,,,20,20,10,10,50,50,,,100,,,,,,,,,,,,,120,110,100,90,80,,,,,120,110,100,90,80,,,
3,הנגאובר,escaperoom israel,אילת,,2,7,http://www.escaperoom.co.il/eilat-hangover,079-932-2224,,"מלון הרודס, מתחם קארדו, אילת",29.548604,34.967033,http://tinyurl.com/h5xtsau,דרום,,,,,,20,20,,,,,1,,,,,1,0,0,0,,,,1,,,120,100,90,80,80,,,,,120,100,90,80,80,,,
4,טיטאניק,escaperoom israel,אילת,,2,5,http://www.escaperoom.co.il/eilat-titanic,079-932-2224,,"מלון הרודס, מתחם קארדו, אילת",29.548604,34.967033,http://tinyurl.com/h5xtsau,דרום,,,,,,20,20,,,50,50,1,,,1,1,1,1,,0,,,,1,,,120,100,90,80,80,,,,,120,100,90,80,80,,,
5,אלקטרז,runout,אילת,,2,4,http://www.run-out.net/alcatraz,053-2552515,,"שדרות התמרים 2, אילת",29.554838,34.954247,http://tinyurl.com/jnublfw,דרום,,,2,,,15,15,10,10,,,,10,,1,0,1,1,,0,0,1,1,1,,,100,90,80,,,,,,,110,100,90,,,,,
6,קללת המכשפה,runout,אילת,,2,6,http://www.run-out.net/witch,053-2552515,,"שדרות התמרים 2, אילת",29.554838,34.954247,http://tinyurl.com/jnublfw,דרום,,,,,,15,15,10,10,,,,10,,0,1,1,0,,1,0,1,1,1,,,110,100,90,80,75,,,,,120,110,100,90,83,,,
7,קופקבאנה,seguro,אליכין,,2,6,http://www.seguro.co.il/copacabana,04-6144375,,אליכין,32.407659,34.925028,http://tinyurl.com/jy9ecs4,שרון,,,,,,20,20,10,10,50,50,,,,,,,,,,,,,1,,,110,100,90,80,70,,,,,120,110,100,90,80,,,
8,הטבעת השחורה,seekers,אמירים,,2,6,http://www.seekers.co.il/,058-4753951,,"רחוב החורש, מושב אמירים",32.941187,35.443478,http://tinyurl.com/jmwc84m,צפון,,,,,,10,10,10,10,,,,,,,,,,,,,,,1,,,100,87,78,72,68,,,,,110,103,95,86,80,,,
9,גביע הקסם,exit game,אשדוד,,2,6,http://www.exitgame.co.il/he/Games/2/%D7%92%D7%91%D7%99%D7%A2-%D7%94%D7%A7%D7%A1%D7%9D,058-69955775,,"התקשורת 5, אשדוד",31.813890,34.657093,http://tinyurl.com/jl8nwnp,דרום,,,,,,15,15,10,10,,,1,,,,,,1,,0,,,,,,,100,87,78,70,67,,,,,120,100,88,80,75,,,
10,מכונת זמן,exit game,אשדוד,,2,6,http://www.exitgame.co.il/he/Games/1/%D7%9E%D7%9B%D7%95%D7%A0%D7%AA-%D7%94%D7%96%D7%9E%D7%9F,058-69955775,,"התקשורת 5, אשדוד",31.813890,34.657093,http://tinyurl.com/jl8nwnp,דרום,,,,,,15,15,10,10,,,1,,,,,,,,,,,,,,,100,87,78,70,67,,,,,120,100,88,80,75,,,
11,סוכן כפול,exit game,אשדוד,,2,5,http://www.exitgame.co.il/he/Games/3/%D7%A1%D7%95%D7%9B%D7%9F-%D7%9B%D7%A4%D7%95%D7%9C,058-69955775,,"התקשורת 5, אשדוד",31.813890,34.657093,http://tinyurl.com/jl8nwnp,דרום,,,,,,15,15,10,10,,,1,,,,,,,,,,,,,,,100,87,78,70,,,,,,120,100,88,80,,,,
12,אלאדין,exit game,אשדוד,,2,5,http://www.exitgame.co.il/he/Games/10/%D7%90%D7%9C%D7%90%D7%93%D7%99%D7%9F,058-69955775,,"התקשורת 5, אשדוד",31.813890,34.657093,http://tinyurl.com/jl8nwnp,דרום,,,,,,15,15,10,10,,,1,,,,,1,1,,0,,,,,,,100,87,78,70,,,,,,120,100,88,80,,,,
13,שובר שורות,live quest,אשדוד,,2,6,http://www.livequest.co.il/%D7%A9%D7%95%D7%91%D7%A8-%D7%A9%D7%95%D7%A8%D7%95%D7%AA/,054-7161311,,"שלזינגר 1, אשדוד",31.818807,34.669912,http://tinyurl.com/j8uv33p,דרום,,,,,,20,20,10,10,,,,,,,,,,,,,,1,,,,100,90,80,70,65,,,,,120,100,90,80,75,,,
14,תרדמת,live quest,אשדוד,,2,4,http://www.livequest.co.il/%D7%AA%D7%A8%D7%93%D7%9E%D7%AA/,054-7161311,,"שלזינגר 1, אשדוד",31.818807,34.669912,http://tinyurl.com/j8uv33p,דרום,,,,,,20,20,10,10,,,1,,,,,,,,,,,1,,,,100,90,80,,,,,,,120,100,90,,,,,
15,מכונה לתקשור נשמות,quest house,אשדוד,,2,6,http://questhouse.co.il/he/%D7%97%D7%93%D7%A8%D7%99%D7%9D/,08-9339870,058-7535555,"התקשורת 8, אשדוד",31.813712,34.657145,http://tinyurl.com/zqtnovw,דרום,,,,,,,,,,,,,,,,,,,,,,,,,1,,100,90,85,80,75,,,,,120,103,95,88,82,,,
16,מלחמות הצללים,quest house,אשדוד,,2,6,http://questhouse.co.il/he/%D7%97%D7%93%D7%A8%D7%99%D7%9D/,08-9339870,058-7535555,"התקשורת 8, אשדוד",31.813712,34.657145,http://tinyurl.com/zqtnovw,דרום,,,,,,,,,,,,,,,,,,,,,,,,,,,100,90,85,80,75,,,,,120,103,95,88,82,,,
17,חזרה לUSSR,secret room,אשדוד,,2,5,http://secretroom.co.il/city/ashdod/,052-7266852,,המסחר 1 אשדוד,31.807274,34.645274,http://tinyurl.com/zs77sn8,דרום,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,80,80,,,,,,100,100,80,80,,,,
18,הכת הסודית ,adventure room,אשקלון,,2,6,http://www.adventureroom.co.il/default.asp?SID=2&CID=1&IID=2&PgN=1,054-7473723,,"הפנינים 38, אשקלון",31.668523,34.601611,http://tinyurl.com/gskhdfa,דרום,,,,,,10,10,10,10,,,,,,,,,,,,,,,,,,110,100,90,85,75,,,,,120,110,100,90,80,,,
19,הכימאי,escape zone,אשקלון,,2,6,http://www.escape-zone.co.il/he/room/alchemists-chamber-3/,08-8659970,,"צה""ל 29, אשקלון",31.665019,34.589354,http://tinyurl.com/hpjvmv6,דרום,,,,,,,,,,,,1,,,,,,,,,,,,,,,90,85,80,75,70,,,,,100,95,90,85,80,,,
20,וונדרזון,escape zone,אשקלון,,2,6,http://www.escape-zone.co.il/he/room/%D7%95%D7%95%D7%A0%D7%93%D7%A8-%D7%96%D7%95%D7%9F-2/,08-8659970,,"צה""ל 29, אשקלון",31.665019,34.589354,http://tinyurl.com/hpjvmv6,דרום,,,,,,,,,,,,1,,,,,,,,,,,,,,,90,85,80,75,70,,,,,100,95,90,85,80,,,
21,שכחו אותי בבית,livequest,אשקלון,,2,4,http://www.livequest.co.il/%D7%A9%D7%9B%D7%97%D7%95-%D7%90%D7%95%D7%AA%D7%99-%D7%91%D7%91%D7%99%D7%AA/,054-7161311,,"בית המשפט 4, אשקלון",31.664530,34.587605,http://tinyurl.com/hnyus9b,דרום,,,,,,20,20,10,10,,,1,,,,,,,,,,,1,,,,100,87,78,,,,,,,120,100,88,,,,,
22,אטלנטיס,time square,אשקלון,,2,10,http://atlantis-ts.co.il/,058-6440641,050-3341072,"הנוטרים ,1 אשקלון",31.665336,34.584816,http://tinyurl.com/hfhgn5q,דרום,,,,,,10,10,10,10,,,,,,,,,,,,,,,,,,105,95,90,85,80,80,80,80,,105,95,90,85,80,80,80,80
23,סוד הגרעין הישראלי,בית מוריה,באר שבע,,2,10,https://www.bmoriah.org.il/sod.html,08-6409760,052-3183328,"אברהם אבינו 91, באר שבע",31.269735,34.794354,http://tinyurl.com/jv6gph5,דרום,ב״שׁ,1,,,,,,,,,,,,,,,,,1,,1,,,,,,110,95,85,80,70,60,60,60,,110,95,85,80,70,60,60,60
24,שעת חירום,escaperoom israel,באר שבע,,2,6,http://www.escaperoom.co.il/beer-sheva-doomsday,08-6716772,,"הדסה 53, באר שבע, קומה 2-",31.240853,34.790173,http://tinyurl.com/gv5z845,דרום,ב״שׁ,,,,,20,20,,,50,50,1,,,,,1,,,0,,,,1,,,120,100,90,80,80,,,,,120,100,90,80,80,,,
25,נמלטים,escaperoom israel,באר שבע,,2,6,http://www.escaperoom.co.il/beer-sheva-prison-break,08-6716772,,"הדסה 53, באר שבע, קומה 2-",31.240853,34.790173,http://tinyurl.com/gv5z845,דרום,ב״שׁ,,,,,20,20,,,50,50,1,,,,,1,,,0,,,,1,,,120,100,90,80,80,,,,,120,100,90,80,80,,,
26,הצינוק,exit room,באר שבע,,2,5,http://exitroom.co.il/rooms/dungeon-3-3-3/?lang=he,077-5569386,,"ההסתדרות 37, באר שבע",31.239554,34.788806,http://tinyurl.com/z8jwmc8,דרום,ב״שׁ,,,,,10,10,,,10,10,1,,,,,,0,,,,,,,,,120,100,88,80,,,,,,120,100,88,80,,,,
27,מועדון ציד,exit room,באר שבע,,4,6,http://exitroom.co.il/rooms/hunting-club-2/?lang=he,054-8132233,,"ההסתדרות 19, באר שבע",31.238811,34.788100,http://tinyurl.com/j368j2u,דרום,ב״שׁ,,,,,10,10,,,10,10,1,,,,,,1,,,,,,,,,,,88,80,78,,,,,,,88,80,78,,,
28,שוד בנק,exit room,באר שבע,,3,6,http://exitroom.co.il/rooms/bank-beersheva-2/?lang=he,054-8132233,,"ההסתדרות 19, באר שבע",31.238811,34.788100,http://tinyurl.com/j368j2u,דרום,ב״שׁ,,,,,10,10,,,10,10,1,,,,,,1,,,,,,,,,,100,88,80,78,,,,,,100,88,80,78,,,
29,ארמגדון,gameon,באר שבע,,2,6,http://www.gameon-escaperooms.co.il/,08-6267879,,"מצדה 6, מרכז הנגב, באר שבע",31.258449,34.795816,http://tinyurl.com/j4em97c,דרום,ב״שׁ,,,,,10,10,,,,,1,10,,1,1,1,1,,0,1,1,1,1,,,120,100,90,85,80,,,,,120,100,90,85,80,,,
30,מצרים העתיקה - האוצר האבוד,gameon,באר שבע,,2,6,http://www.gameon-escaperooms.co.il/,08-6267879,,"מצדה 6, מרכז הנגב, באר שבע",31.258449,34.795816,http://tinyurl.com/j4em97c,דרום,ב״שׁ,,,,,10,10,,,,,1,10,,1,1,1,1,,0,1,1,1,1,,,120,100,90,85,80,,,,,120,100,90,85,80,,,
31,קניבל בצ'רנוביל,x room,באר שבע,,2,6,https://www.x-roomb7.com,055-9576319,,"יאיר שטרן 43, באר שבע",31.241166,34.790976,http://tinyurl.com/jufqjxa,דרום,ב״שׁ,,,,,10,,10,,,,,,,,,,,,1,,,,0,,,120,115,110,105,100,,,,,120,115,110,105,100,,,
32,חופשה בסקוטלנד,brainzz,בלפוריה,,2,6,http://www.brainzz.co.il/,04-6416663,,מושב בלפוריה,32.629988,35.296281,http://tinyurl.com/js44fyg,צפון,גליל,,,,,10,10,10,10,,,,,,,,,,,,,,,1,,,100,90,80,70,70,,,,,125,110,100,90,90,,,
33,מגרש השדים,no escape,בת ים,,2,5,http://www.noescape.co.il/the-exorcist,052-5485548,,"אהוד קינמון 29, בת ים",32.010716,34.749985,http://tinyurl.com/hbqu3jd,מרכז,,,,,,,,,,,,,,,,,,0,,1,,,,0,,,110,100,90,80,,,,,,110,100,90,80,,,,
34,אימת טרנטון,rsq,בת ים,,2,6,http://rsqisrael.com/heb/index,03-6095110,,"מצודת בית""ר 8, בת ים",32.013383,34.750362,http://tinyurl.com/jxmox7f,מרכז,,,,,,,,15,15,,,,,100,1,1,0,0,,1,0,0,1,1,,,110,90,85,80,75,,,,,120,100,95,90,85,,,
35,המקפיא,rsq,בת ים,,2,4,http://rsqisrael.com/heb/index,03-6095110,,"מצודת בית""ר 8, בת ים",32.013383,34.750362,http://tinyurl.com/jxmox7f,מרכז,,,,,,,,15,15,,,,,100,,,,,,,,,,,,,110,90,85,80,75,,,,,120,100,95,90,85,,,
36,כרמן סאן דייגו,north-escape,הגושרים,,2,6,www.north-escape.co.il,055-6674537,,קיבוץ הגושרים,33.221485,35.623028,http://tinyurl.com/z68azde,צפון,גליל,,,,,10,,10,,30,,1,10,,0,1,1,1,,0,0,1,1,1,,,100,90,80,74,70,,,,,115,110,100,90,80,,,
37,המוזאון,escape plan,הוד השרון,,2,8,http://escape-plan.co.il/,058-6959503,,"בני ברית 8, הוד השרון",32.154458,34.890522,http://tinyurl.com/z6sxvy3,שרון,,,,,,20,20,10,10,50,50,,,,,,,,,,,,,,,,110,100,90,80,80,71,,,,120,110,100,90,83,74,,
38,מטריקס,braineffect,הרצליה,,2,5,http://braineffect.co.il/matrix/,09-8617767,,גלגלי הפלדה 6 הרצליה פיתוח,32.163124,34.808599,http://tinyurl.com/zyzukt3,שרון,,,,,,15,15,,,50,50,1,,,,,1,1,,,,,,,,,105,100,95,90,,,,,,105,100,95,90,,,,
39,פורדו,braineffect,הרצליה,,2,7,http://braineffect.co.il/fordow/,09-8617767,,גלגלי הפלדה 6 הרצליה פיתוח,32.163124,34.808599,http://tinyurl.com/zyzukt3,שרון,,,,,,15,15,,,50,50,1,,,,,1,1,,,,,,,,,105,100,95,90,85,80,,,,105,100,95,90,85,80,,
40,בריחת הפיראטים,brainit,הרצליה,,2,6,https://brainit.co.il/f1/room/pirates/,09-7923338,,"משכית 9, הרצליה",32.165581,34.811594,http://tinyurl.com/jnrudzl,שרון,,,,,,10,10,10,10,,,1,,100,,,,1,,,,,,,,,115,100,90,80,80,,,,,115,100,90,80,80,,,
41,האיום האיראני,breakout,הרצליה,,2,8,http://breakout.co.il/%D7%94%D7%90%D7%99%D7%95%D7%9D-%D7%94%D7%90%D7%99%D7%A8%D7%90%D7%A0%D7%99/,03-6193464,055-6628740,"הבוסתן 35, הרצליה",32.177441,34.844512,http://tinyurl.com/h74h622,שרון,,,,,,10,10,10,10,50,50,1,10,,1,1,1,1,,0,1,1,1,1,,,120,110,100,90,80,75,75,,,120,110,100,90,80,75,75,
42,האתגר: פיראטים,challenge,הרצליה,,3,7,http://www.challenge-israel.co.il/product/%D7%94%D7%90%D7%AA%D7%92%D7%A8-%D7%A4%D7%99%D7%A8%D7%90%D7%98%D7%99%D7%9D/,09-799-8833,,"ברקת 5, הרצליה",32.167421,34.806918,http://tinyurl.com/jmwq9nk,שרון,,,,,,10,10,10,10,,,,,50,1,1,1,1,,1,0,1,0,1,,,,120,115,110,100,100,,,,,120,115,110,100,100,,
43,תיקים באפלה,exit room,הרצליה,,3,6,http://exitroom.co.il/rooms/secret-files/,054-6300617,,"משכית 9, הרצליה",32.165581,34.811594,http://tinyurl.com/jnrudzl,שרון,,,2,,,10,10,,,10,10,1,,,,,,,,,,,,,,,,100,88,80,78,,,,,,100,88,80,78,,,
44,אלדורדו,exit room,אשדוד,,2,5,http://exitroom.co.il/rooms/eldorado-2-2-2-2-2-2-2-3-2-2-2/?lang=he,053-9533466,,"האורגים 39, אשדוד",31.814422,34.656281,http://tinyurl.com/grwbvhh,דרום,,,,,,10,10,,,10,10,1,,,,,,,,,,,,,,,,100,88,80,78,,,,,,100,88,80,78,,,
45,מבצע עטלף,mind gamed,הרצליה,,2,7,http://mind-game.net/,052-468-0124,,שנקר 14 הרצליה פיתוח,32.159128,34.808556,http://tinyurl.com/gwr7byp,שרון,,,,,,,,,,,,,,,,,,,,,,,,,,,120,120,120,110,110,110,,,,120,120,120,110,110,110,,
46,"ד""ר דרים",mindbreak,הרצליה,,2,6,http://mindbreak.co.il/,054-2011732,,"בן גוריון 8, הרצליה",32.165538,34.842577,http://tinyurl.com/jfx4k8l,שרון,,,,,,10,10,10,10,30,30,1,,,,,,,,,,,,,1,,110,90,85,80,75,,,,,120,100,95,85,80,,,
47,שוד המונה ליזה,nowayout,הרצליה,,2,7,https://www.nowayout.co.il/rooms/mona-lisa/,072-3927591,,"בן גוריון 22, הרצליה",32.162379,34.842503,http://tinyurl.com/zlny7mr,שרון,,,,,,,,,,,,,10,,,,,,,,,,,,,,120,100,95,85,80,80,,,,120,110,100,90,85,80,,
48,מטמון הברון,צופן הברון,זכרון יעקב,,2,5,http://baron-code.co.il,072-2409004,,"המייסדים 62, זכרון יעקב",32.574399,34.954005,http://tinyurl.com/htrlepz,שרון,,,2,,,,,,,,,,,,0,1,1,1,,0,1,1,1,1,,,110,100,90,80,,,,,,120,110,98,88,,,,
49,סודות המגילה,צופן הברון,זכרון יעקב,,2,6,http://baron-code.co.il,072-2409004,,"המייסדים 62, זכרון יעקב",32.574399,34.954005,http://tinyurl.com/htrlepz,שרון,,,2,,,,,,,,,,,,0,1,1,1,,0,1,1,1,1,,,110,100,90,80,75,,,,,120,110,98,88,80,,,
50,הגהינום,5d reality game,חולון,,2,6,http://reality-game.co.il/?page_id=43,050-5078701,,"סוקולוב 42, חולון",32.022709,34.773505,http://tinyurl.com/jxt4uar,מרכז,,,,,,,,,,,,,,,,,,,,,,,,,,,105,90,83,74,70,,,,,130,107,95,84,77,,,
51,star wars,5d reality game,חולון,,2,6,http://reality-game.co.il/?page_id=43,050-5078701,,"סוקולוב 42, חולון",32.022709,34.773505,http://tinyurl.com/jxt4uar,מרכז,,,,,,,,,,,,,,,,,,,,,,,,,,,105,90,83,74,70,,,,,130,107,95,84,77,,,
52,אובסקיוריטי,portal y,חולון,,3,10,http://www.portaly.club/obscurity,058-6076070,,"רבינוביץ' 11, חולון",31.999243,34.768505,http://tinyurl.com/hhoblzb,מרכז,,,,,,,,,,,,,,,0,1,0,0,,1,0,1,1,1,1,,,110,110,100,100,90,90,80,,,120,120,110,110,100,100,95
53,קוהינור,enigmatic,חיפה,,2,6,http://www.enigmatic.co.il/he/home-page/,054-3315338,,"שדרות מוריה 58, חיפה",32.796500,34.984357,http://tinyurl.com/z8os48t,צפון,,,,,,10,10,,,,,1,,,,,,,1,,,,,,,,100,95,90,80,75,,,,,120,105,95,85,80,,,
54,סוד הגלריה,escape challenge,חיפה,,2,7,http://www.escapechallenge.co.il/room/SecretOfTheGallery,050-2700387,,"הבונים החופשיים 11, לב המפרץ, חיפה",32.788286,35.039320,http://tinyurl.com/gse9syn,צפון,,,,,,10,10,10,,,,,,,,,,,,,,,,,,,120,90,80,70,70,70,,,,120,100,90,84,80,80,,
55,הצלצול,exit room,חיפה,,2,6,http://exitroom.co.il/rooms/the-ring/?lang=he,053-5318227,,"שדרות הנשיא 104, חיפה",32.807755,34.986178,http://tinyurl.com/htoyu2g,צפון,,,,,,10,10,,,10,10,1,,,,,,,,1,,,,1,1,,120,100,88,80,78,,,,,120,100,88,80,78,,,
56,שוד בנק,exit room,חיפה,,2,7,http://exitroom.co.il/rooms/bank-robbery-2/?lang=he,053-6224799,,"שדרות ההסתדרות 34, חיפה",32.790736,35.033694,http://tinyurl.com/hdfwkd9,צפון,,,,,,10,10,,,10,10,1,,,,,,,,,,,,1,1,,120,100,88,80,78,77,,,,120,100,88,80,78,77,,
57,תעלומת דה וינצ'י,exit room,חיפה,,2,5,http://exitroom.co.il/rooms/da-vinci-code-2-2-2-2-2/?lang=he,053-5318227,,"שדרות הנשיא 104, חיפה",32.807755,34.986178,http://tinyurl.com/htoyu2g,צפון,,,,,,10,10,,,10,10,1,,,,,,,,,,,,1,,,120,100,88,80,,,,,,120,100,88,80,,,,
58,האוצרות המקוללים,golden fox,חיפה,,2,6,http://goldenfox.co.il/,054-8110795,,"שער פלמר 1, חיפה",32.819802,34.999984,http://tinyurl.com/zlz4rp6,צפון,,,,,,10,10,10,10,50,50,1,,,,,,,,,,,,1,,,100,90,80,70,65,,,,,120,110,95,90,80,,,
59,היער הקסום,golden key,חיפה,,4,14,http://www.mygoldenkey.co.il/haifa,074-7323909,,"יוחנן הסנדלר 18, חיפה",32.789975,35.040936,http://tinyurl.com/hyosp7h,צפון,,,,,,10,10,,,,,1,10,,,,,,,0,,,,,,,,,95,90,83,79,50,50,,,,95,90,83,79,50,50
60,הצוואה של הדוד המליונר,golden key,חיפה,,2,8,http://www.mygoldenkey.co.il/haifa,074-7323909,,"יוחנן הסנדלר 18, חיפה",32.789975,35.040936,http://tinyurl.com/hyosp7h,צפון,,,,,,10,10,,,,,1,10,,,,,,,,,,,,,,125,100,95,90,83,79,50,,,125,100,95,90,89,79,50,
61,הצוללת,golden key,חיפה,,2,8,http://www.mygoldenkey.co.il/haifa,074-7323909,,"יוחנן הסנדלר 18, חיפה",32.789975,35.040936,http://tinyurl.com/hyosp7h,צפון,,,,,,10,10,,,,,1,10,,,,,,,,,,,,,,125,100,95,90,83,79,50,,,125,100,95,90,89,79,50,
62,בלש אמיתי,quest room,חיפה,,2,6,http://www.questroom.co.il/real-detective-game,072-2133868,054-4522905,"יוחנן הסנדלר 13, חיפה",32.790122,35.040041,http://tinyurl.com/jgtvqge,צפון,,,,,,10,10,,,20,20,,,,,,,,,,,,1,1,,,100,90,80,70,70,,,,,125,110,100,90,90,,,
63,הטינה,quest room,חיפה,,2,7,http://www.questroom.co.il/the-grudge,072-2133868,050-6488656,"האשלג 18, חיפה",32.791259,35.039209,http://tinyurl.com/jmrttpw,צפון,,,,,,10,10,,,20,20,1,,,,,,,,,,,,1,,,100,90,80,70,70,70,,,,125,110,100,90,90,90,,
64,סוכן 007,quest room,חיפה,,3,7,http://www.questroom.co.il/007,072-2133868,054-3593109,"ליאון שטיין 9, חיפה",32.791219,35.036775,http://tinyurl.com/jqdzyoz,צפון,,,,,,10,10,,,20,20,,,,,,,,,,,,,1,,,,90,80,70,70,,,,,,110,100,90,90,,,
65,השתלטות U110,quest world,חיפה,,2,8,http://www.quest-world.co.il/,052-4653133,,"ההסתדרות 208, חיפה",32.807479,35.062809,http://tinyurl.com/j487gu3,צפון,,,,,,,,,,,,,,,,,,,,,,,,1,,,150,100,90,80,75,70,69,,,150,100,100,100,100,100,100,
